,B1,B2,B3,B4,t60R1,t60R3,t60R4
Locus10000v1rpkm3.08,18,13,19,49,164,30,117
Locus10001v1rpkm3.08,0,0,0,0,0,0,0
Locus10002v1rpkm3.08,11.96,12,22,39.96,41.96,138.91,48.94
Locus10003v1rpkm3.08,0,0,0,0,0,0,1
Locus10004v1rpkm3.08,15,8,7,49,22,12,34
Locus10005v1rpkm3.08,21,15,14,84,132,16,115
Locus10006v1rpkm3.08,40,25,15,94,118,34,66
Locus10007v1rpkm3.07,7,2,6,29,35,19,45
Locus10008v1rpkm3.07,11,6,8,38,48,11,37
Locus10009v1rpkm3.07,8.78,9.76,9.39,32.78,32.66,11.63,16.98
Locus10009v2rpkm1.98,14.22,5.24,2.61,35.22,43.43,1.38,47.02
Locus1000v1rpkm124.69,302,193,207,753,1308,956,1190
Locus10010v1rpkm3.07,10,12,17,31,55,16,39
Locus10011v1rpkm3.07,2,5,0,10,48,2,15
Locus10012v1rpkm3.07,20,13,13,44,49,13,37
Locus10013v1rpkm3.07,15,8,6,38,38,11,45
Locus10014v1rpkm3.07,6,9,1,9,216,20,158
Locus10015v1rpkm3.07,31,25,13,102,144,18,121
Locus10016v1rpkm3.07,23,16,10,85,62,5,48
Locus10017v1rpkm3.07,31,37,20,107,77,7,72
Locus10018v1rpkm3.07,8,5,10,34,32,6,39
Locus10019v1rpkm3.07,44,34,20,111,131,41,120
Locus1001v1rpkm123.92,1413.99,780.48,712,2725.36,4774.4,2495.41,3634.11
Locus10020v1rpkm3.07,27,34,37,72,221,97,124
Locus10021v1rpkm3.07,13,28,17,38,134,16,76
Locus10022v1rpkm3.07,20,22,21,62.93,104,40.63,61
Locus10023v1rpkm3.07,3,6,4,9,17,6,17
Locus10024v1rpkm3.07,84,34,33,179,221,44,181
Locus10025v1rpkm3.06,42,13,15,82,135,73,123
Locus10026v1rpkm3.06,43,17,11,87,87,9,63
Locus10027v1rpkm3.06,0,0,0,0,0,0,0
Locus10028v1rpkm3.06,12,22,16,48,70,16,39
Locus10029v1rpkm3.06,1,1,4,8,6,5,2
Locus1002v1rpkm123.72,695,375,526,1407,2536,1249,1794
Locus10030v1rpkm3.06,17,24,21,67,126,20,123
Locus10031v1rpkm3.06,42,43,16,126,75,19,63
Locus10032v1rpkm3.06,81,28,47,206,2710,1580,2050
Locus10033v1rpkm3.06,31,28,20,57,105,9,76
Locus10034v1rpkm3.06,0,0,0,0,0,0,1.07
Locus10035v1rpkm3.06,8,8,5,27,43,2,23
Locus10036v1rpkm3.06,12,10,14,53,81,18,42
Locus10037v1rpkm3.06,13,11,9,42,95,1,73
Locus10038v1rpkm3.05,5,2,3,27,21,3,16
Locus10039v1rpkm3.05,33,27,11,90,89,25,106
Locus1003v1rpkm123.70,976.04,427.78,411.69,1730.28,2228.32,651.82,1668.21
Locus10040v1rpkm3.05,18,8,9,44,49,11,40
Locus10041v1rpkm3.05,17,32,27,49,401,28,222
Locus10042v1rpkm3.05,0,9,2,36,125,9,40
Locus10043v1rpkm3.05,1,4,2,8,21,0,22
Locus10044v1rpkm3.05,12,9,7,52,47,11,30
Locus10045v1rpkm3.05,16,17,13,56,65,10,43
Locus10046v1rpkm3.05,21,20,9,48,50,30,52
Locus10047v1rpkm3.05,0,3.27,0,6.03,7.13,0,6.14
Locus10048v1rpkm3.05,58.69,63,21,337.29,533.32,38.84,612.58
Locus10049v1rpkm3.04,24,26,17,73,161,27,113
Locus1004v1rpkm123.58,419.3,216.6,200.41,946.55,1324.26,512.3,1117.76
Locus1004v2rpkm73.82,153.51,67.86,95.51,363.58,404.81,79.76,360.94
Locus10050v1rpkm3.04,13,12,7,32,44,4,29
Locus10051v1rpkm3.04,16.16,24.82,12.07,39.56,73.51,26.43,50.07
Locus10051v2rpkm2.34,28.15,13.63,19.24,44.86,50.75,19.97,50.51
Locus10051v3rpkm1.57,0,0,0,0,2.52,0,0
Locus10051v4rpkm1.12,0,0,2.24,0,0,24.97,0
Locus10051v5rpkm1.07,10.86,3.55,7.46,29.42,28.39,8.62,29.69
Locus10051v6rpkm0.00_PRE,2.83,0,0,2.16,0.83,0,8.73
Locus10053v1rpkm3.04,50.35,52.29,32.57,126.47,215.07,55.83,182.57
Locus10054v1rpkm3.04,18,19,10,187.01,95,17,159
Locus10055v1rpkm3.04,32,33,32,108.99,130.99,59,81.98
Locus10056v1rpkm3.04,15,23,13,73,43,8,26
Locus10057v1rpkm3.04,0,3,2,3,26,5,16
Locus10058v1rpkm3.04,20,9,7,46,209,69,138
Locus10059v1rpkm3.04,26,15,17,52,104,32,104
Locus1005v1rpkm123.47,415,256,281,788,2125,459,1475
Locus10060v1rpkm3.04,11,9,8,40,7,6,11
Locus10061v1rpkm3.04,10,11,6,30,34,15,31
Locus10062v1rpkm3.04,6.03,10.09,13,42,34.21,21,38.23
Locus10062v2rpkm0.08_PRE,0.97,0.91,0,0,7.79,0,7.77
Locus10063v1rpkm3.04,47,27,21,68,137,108,89
Locus10064v1rpkm3.04,12,8,7,43,62,24,55
Locus10065v1rpkm3.04,3,4,1,6,69,13,38
Locus10066v1rpkm3.03,7,16,8,47,41,22,37
Locus10067v1rpkm3.03,31,7,11,47,54,11,32
Locus10068v1rpkm3.03,46.74,37.13,45.62,146.13,276.85,71.23,205.83
Locus10068v2rpkm0.84,0,0,0,0,3.33,0,0
Locus10068v3rpkm0.39,3.03,0,0,0.13,0.4,3.9,0
