Transcript,G1,G2,G3,A1,A2,A3
Locus10000v1rpkm3.08,4,35,17,12,13,9
Locus10001v1rpkm3.08,0,0,0,0,0,0
Locus10002v1rpkm3.08,1,8,6,1,3,3
Locus10003v1rpkm3.08,0,0,0,0,0,0
Locus10004v1rpkm3.08,20,66,19,22,20,22
Locus10005v1rpkm3.08,7,40,18,14,18,25
Locus10006v1rpkm3.08,12,83,27,18,21,25
Locus10007v1rpkm3.07,11,56,20,11,14,15
Locus10008v1rpkm3.07,33,146,30,32,37,40
Locus10009v1rpkm3.07,1,9.53,8.55,4.21,7.54,4.9
Locus10009v2rpkm1.98,4,19.47,7.45,9.79,12.46,10.1
Locus1000v1rpkm124.69,212,695,324,446,635,553
Locus10010v1rpkm3.07,32,88,28,22,23,32
Locus10011v1rpkm3.07,15,56,17,1,6,7
Locus10012v1rpkm3.07,10,52,11,16,11,19
Locus10013v1rpkm3.07,23,65,13,9,16,19
Locus10014v1rpkm3.07,0,2,2,0,0,2
Locus10015v1rpkm3.07,97,418,91,65,74,89
Locus10016v1rpkm3.07,5,60,22,33,34,67
Locus10017v1rpkm3.07,46,246,75,113,120,160
Locus10018v1rpkm3.07,18,38,12,10,15,11
Locus10019v1rpkm3.07,1,5,3,246,209,313
Locus1001v1rpkm123.92,452,1350,685,566,592,738
Locus10020v1rpkm3.07,26,108,30,34,22,43
Locus10021v1rpkm3.07,9,23,8,6,4,9
Locus10022v1rpkm3.07,5,28,5,10,9,15
Locus10023v1rpkm3.07,13,50,13,6,9,6
Locus10024v1rpkm3.07,15,84,32,85,73,115
Locus10025v1rpkm3.06,0,5,6,5,5,10
Locus10026v1rpkm3.06,18,76,30,40,39,43
Locus10027v1rpkm3.06,0,0,0,0,0,0
Locus10028v1rpkm3.06,10,33,8,18,10,21
Locus10029v1rpkm3.06,0,0,0,0,0,0
Locus1002v1rpkm123.72,338,1242,509,480,465,549
Locus10030v1rpkm3.06,11,22,8,8,8,9
Locus10031v1rpkm3.06,30,134,55,84,49,75
Locus10032v1rpkm3.06,7,33,23,5,22,11
Locus10033v1rpkm3.06,47,117,42,18,24,36
Locus10034v1rpkm3.06,0,0,0,0,0,1
Locus10035v1rpkm3.06,0,8,6,5,1,10
Locus10036v1rpkm3.06,30,127,24,34,20,23
