Transcript,G1,G2,G3,M1,M2,M3
Locus10000v1rpkm3.08,4,35,17,7,20,15
Locus10001v1rpkm3.08,0,0,0,0,0,0
Locus10002v1rpkm3.08,1,8,6,1,11,10
Locus10003v1rpkm3.08,0,0,0,0,0,0
Locus10004v1rpkm3.08,20,66,19,21,20,26
Locus10005v1rpkm3.08,7,40,18,19,13,28
Locus10006v1rpkm3.08,12,83,27,30,30,58
Locus10007v1rpkm3.07,11,56,20,22,18,13
Locus10008v1rpkm3.07,33,146,30,49,25,42
Locus10009v1rpkm3.07,1,9.53,8.55,3.85,2.61,3.77
Locus10009v2rpkm1.98,4,19.47,7.45,11.15,8.39,27.23
Locus1000v1rpkm124.69,212,695,324,162,121,264
Locus10010v1rpkm3.07,32,88,28,32,30,31
Locus10011v1rpkm3.07,15,56,17,53,42,23
Locus10012v1rpkm3.07,10,52,11,11,9,15
Locus10013v1rpkm3.07,23,65,13,21,13,15
Locus10014v1rpkm3.07,0,2,2,2,1,1
Locus10015v1rpkm3.07,97,418,91,161,127,144
Locus10016v1rpkm3.07,5,60,22,24,14,18
Locus10017v1rpkm3.07,46,246,75,79,67,117
Locus10018v1rpkm3.07,18,38,12,12,9,20
Locus10019v1rpkm3.07,1,5,3,8,1,6
Locus1001v1rpkm123.92,452,1350,685,467,324,932
Locus10020v1rpkm3.07,26,108,30,39,24,48
Locus10021v1rpkm3.07,9,23,8,8,10,12
Locus10022v1rpkm3.07,5,28,5,5,2,9
Locus10023v1rpkm3.07,13,50,13,19,9,19
Locus10024v1rpkm3.07,15,84,32,44,13,52
Locus10025v1rpkm3.06,0,5,6,4,1,4
Locus10026v1rpkm3.06,18,76,30,33,20,62
Locus10027v1rpkm3.06,0,0,0,0,0,0
Locus10028v1rpkm3.06,10,33,8,10,10,22
Locus10029v1rpkm3.06,0,0,0,0,0,0
Locus1002v1rpkm123.72,338,1242,509,384,288,672
Locus10030v1rpkm3.06,11,22,8,7,6,14
Locus10031v1rpkm3.06,30,134,55,33,32,65
Locus10032v1rpkm3.06,7,33,23,11,13,41
Locus10033v1rpkm3.06,47,117,42,34,33,50
Locus10034v1rpkm3.06,0,0,0,0,0,0
Locus10035v1rpkm3.06,0,8,6,2,1,3
Locus10036v1rpkm3.06,30,127,24,38,37,61
Locus10037v1rpkm3.06,5,32,18,10,5,23
Locus10038v1rpkm3.05,13,73,25,23,18,30
Locus10039v1rpkm3.05,17,89,25,38,23,34
Locus1003v1rpkm123.70,784,3077.8,1060,868,668,1283
Locus10040v1rpkm3.05,10,41,20,17,10,15
Locus10041v1rpkm3.05,34,109,17,35,44,36
Locus10042v1rpkm3.05,43,154,31,57,66,46
Locus10043v1rpkm3.05,16,53,10,24,20,15
Locus10044v1rpkm3.05,4,45,14,13,14,22
