Transcript,G1,G2,G3,RCG1,RCG2,RCG3
Locus10000v1rpkm3.08,4,35,17,2,18,20
Locus10001v1rpkm3.08,0,0,0,0,0,1
Locus10002v1rpkm3.08,1,8,6,3,13,8
Locus10003v1rpkm3.08,0,0,0,0,0,0
Locus10004v1rpkm3.08,20,66,19,3,10,6
Locus10005v1rpkm3.08,7,40,18,5,13,15
Locus10006v1rpkm3.08,12,83,27,10,24,21
Locus10007v1rpkm3.07,11,56,20,7,16,16
Locus10008v1rpkm3.07,33,146,30,8,17,26
Locus10009v1rpkm3.07,1,9.53,8.55,4.36,7.75,5.5
Locus10009v2rpkm1.98,4,19.47,7.45,3.64,6.25,6.5
Locus1000v1rpkm124.69,212,695,324,234,454,379
Locus10010v1rpkm3.07,32,88,28,6,22,14
Locus10011v1rpkm3.07,15,56,17,4,6,1
Locus10012v1rpkm3.07,10,52,11,8,21,11
Locus10013v1rpkm3.07,23,65,13,6,9,9
Locus10014v1rpkm3.07,0,2,2,0,2,1
Locus10015v1rpkm3.07,97,418,91,21,56,64
Locus10016v1rpkm3.07,5,60,22,5,25,23
Locus10017v1rpkm3.07,46,246,75,22,99,86
Locus10018v1rpkm3.07,18,38,12,7,18,7
Locus10019v1rpkm3.07,1,5,3,48,187,151
Locus1001v1rpkm123.92,452,1350,685,397,591,610
Locus10020v1rpkm3.07,26,108,30,18,24,36
Locus10021v1rpkm3.07,9,23,8,3,10,26
Locus10022v1rpkm3.07,5,28,5,8,19,18
Locus10023v1rpkm3.07,13,50,13,1,10,4
Locus10024v1rpkm3.07,15,84,32,14,74,47
Locus10025v1rpkm3.06,0,5,6,0,10,10
Locus10026v1rpkm3.06,18,76,30,15,63,49
Locus10027v1rpkm3.06,0,0,0,0,0,0
Locus10028v1rpkm3.06,10,33,8,5,17,18
Locus10029v1rpkm3.06,0,0,0,0,0,0
Locus1002v1rpkm123.72,338,1242,509,153,255,264
Locus10030v1rpkm3.06,11,22,8,2,19,19
Locus10031v1rpkm3.06,30,134,55,84,119,122
Locus10032v1rpkm3.06,7,33,23,9,37,27
Locus10033v1rpkm3.06,47,117,42,13,40,27
Locus10034v1rpkm3.06,0,0,0,0,1,0
Locus10035v1rpkm3.06,0,8,6,0,8,1
Locus10036v1rpkm3.06,30,127,24,11,35,23
Locus10037v1rpkm3.06,5,32,18,1,12,15
Locus10038v1rpkm3.05,13,73,25,5,17,8
Locus10039v1rpkm3.05,17,89,25,11,30,34
Locus1003v1rpkm123.70,784,3077.8,1060,403,691,556
Locus10040v1rpkm3.05,10,41,20,2,9,19
Locus10041v1rpkm3.05,34,109,17,3,4,4
Locus10042v1rpkm3.05,43,154,31,1,17,10
Locus10043v1rpkm3.05,16,53,10,3,3,1
Locus10044v1rpkm3.05,4,45,14,2,14,13
Locus10045v1rpkm3.05,46,210,68,27,61,52
Locus10046v1rpkm3.05,18,51,21,5,21,12
Locus10047v1rpkm3.05,0,2,0,1,3,2.13
Locus10048v1rpkm3.05,58.47,215.63,59,39,83.06,92.18
Locus10049v1rpkm3.04,27,112,28,17,22,17
Locus1004v1rpkm123.58,721.06,2471.13,1025.96,311.72,448.91,467.81
Locus1004v2rpkm73.82,269.71,950.6,328.62,69.99,147.63,109.62
Locus10050v1rpkm3.04,2,19,6,2,6,0
Locus10051v1rpkm3.04,11.67,77.79,24.78,4.1,7.29,8.38
Locus10051v2rpkm2.34,16.67,43.54,33.17,6.7,20.67,9.64
Locus10051v3rpkm1.57,0,2.39,0,0,0,0
Locus10051v4rpkm1.12,7.37,0,0,1.99,0,0
Locus10051v5rpkm1.07,7.28,34.9,21.99,8.54,5.41,7.94
Locus10051v6rpkm0.00_PRE,0,1.38,6.06,0.67,2.63,2.04
Locus10053v1rpkm3.04,92,359.28,82,26,53,48
Locus10054v1rpkm3.04,53,124,34,18,37,40
Locus10055v1rpkm3.04,62,259,97,33,43,67
Locus10056v1rpkm3.04,12,86,34,5,19,12
Locus10057v1rpkm3.04,7,6,1,0,0,1
Locus10058v1rpkm3.04,34,91,12,2,7,2
Locus10059v1rpkm3.04,10,14,8,5,19,18
Locus1005v1rpkm123.47,202,662,317,108,174,137
Locus10060v1rpkm3.04,0,6,1,0,2,1
Locus10061v1rpkm3.04,3,19,8,2,14,9
Locus10062v1rpkm3.04,13,57,22,8,23.35,25
Locus10062v2rpkm0.08_PRE,0,0,0,0,0.65,0
Locus10063v1rpkm3.04,3,4,1,15,23,16
Locus10064v1rpkm3.04,12,40,12,7,12,10
Locus10065v1rpkm3.04,6,20,3,2,3,1
Locus10066v1rpkm3.03,14,59,17,5,17,5
Locus10067v1rpkm3.03,5,21,11,1,8,9
Locus10068v1rpkm3.03,21.89,83.21,42.09,17.64,44.82,37.22
Locus10068v2rpkm0.84,0,3.15,0,0,0,0
Locus10068v3rpkm0.39,0,0,0,0,1.98,0
Locus10068v4rpkm0.31,0,0,1,0,0,2.02
Locus10068v5rpkm0.00_PRE,1.11,2.64,3.91,1.36,3.2,1.76
Locus10069v1rpkm3.03,0,0,0,0,0,0
Locus1006v1rpkm123.39,131,513,361,846,1307,1131.01
Locus10070v1rpkm3.03,17,59,17,6,17,20
Locus10071v1rpkm3.03,1,2,1,5,5,5
Locus10072v1rpkm3.03,42,108,25,2,5,4
Locus10073v1rpkm3.03,9,27,24,15,19,18
Locus10074v1rpkm3.03,17,78,29,5,39,18
Locus10075v1rpkm3.03,7,7,7,10,6,9
Locus10076v1rpkm3.03,30,121,29,19,49,42
Locus10077v1rpkm3.03,10,53,21,9,23,14
Locus10078v1rpkm3.03,21,85,16,2,9,2
Locus10079v1rpkm3.03,10,54,18,5,14,14
Locus1007v1rpkm123.34,549,1469,951,1360,2611,2493
Locus10080v1rpkm3.03,31.41,97.02,21.51,19.74,42.74,30.81
Locus10080v2rpkm2.04,0,13.06,6.72,3.26,3.01,2.53
Locus10080v3rpkm0.00_PRE,11.59,11.92,2.77,0,2.25,4.66
Locus10081v1rpkm3.02,8,45,10,2,17,9
Locus10082v1rpkm3.02,15,71,30,5,19,20
