,A1,A2,A3,AS1,AS2,AS3,CB1,CB2,CB3,CS1,CS2,CS3,G1,G2,G3,M1,M2,M3,RCG1,RCG2,RCG3,SG1,SG2
Locus10000v1rpkm3.08,12,13,9,5,10,14,6,8,36,11,9,10,4,35,17,7,20,15,2,18,20,7,18
Locus10001v1rpkm3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Locus10002v1rpkm3.08,1,3,3,2,0,1,11,22,47,5,1,7,1,8,6,1,11,10,3,13,8,4,9
Locus10003v1rpkm3.08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locus10004v1rpkm3.08,22,20,22,16,10,3,23,10,33,10,5,8,20,66,19,21,20,26,3,10,6,13,7
Locus10005v1rpkm3.08,14,18,25,18,10,21,25,29,59,21,5,7,7,40,18,19,13,28,5,13,15,6,8
Locus10006v1rpkm3.08,18,21,25,20,14,20,24,20,56,34,18,13,12,83,27,30,30,58,10,24,21,18,17
Locus10007v1rpkm3.07,11,14,15,6,2,3,16,17,31,12,2,14,11,56,20,22,18,13,7,16,16,3,7
Locus10008v1rpkm3.07,32,37,40,9,2,10,51,42,70,16,9,19,33,146,30,49,25,42,8,17,26,8,13
Locus10009v1rpkm3.07,4.21,7.54,4.9,6.45,1.45,1.43,7.76,3.33,12.61,6.49,4.2,2.27,1,9.53,8.55,3.85,2.61,3.77,4.36,7.75,5.5,0,0
Locus10009v2rpkm1.98,9.79,12.46,10.1,5.55,6.55,7.57,13.24,4.67,23.39,10.51,12.8,4.73,4,19.47,7.45,11.15,8.39,27.23,3.64,6.25,6.5,4,2
Locus1000v1rpkm124.69,446,635,553,524,166,372,572,836,1180,628,153,245,212,695,324,162,121,264,234,454,379,353,270
Locus10010v1rpkm3.07,22,23,32,12,8,8,24,18,36,14,14,11,32,88,28,32,30,31,6,22,14,8,13
Locus10011v1rpkm3.07,1,6,7,7,4,7,30,24,8,11,6,3,15,56,17,53,42,23,4,6,1,6,3
Locus10012v1rpkm3.07,16,11,19,15,9,17,16,11,27,16,3,6,10,52,11,11,9,15,8,21,11,6,6
Locus10013v1rpkm3.07,9,16,19,5,6,12,14,22,34,20,9,5,23,65,13,21,13,15,6,9,9,4,4
Locus10014v1rpkm3.07,0,0,2,5,1,3,1,0,4,1,1,0,0,2,2,2,1,1,0,2,1,1,1
Locus10015v1rpkm3.07,65,74,89,63,48,45,95,69,155,64,58,45,97,418,91,161,127,144,21,56,64,17,38
Locus10016v1rpkm3.07,33,34,67,21,15,27,22,5,82,24,13,13,5,60,22,24,14,18,5,25,23,2,26
Locus10017v1rpkm3.07,113,120,160,49,27,50,65,59,229,80,49,47,46,246,75,79,67,117,22,99,86,26,71
Locus10018v1rpkm3.07,10,15,11,14,4,10,27,9,40,21,12,5,18,38,12,12,9,20,7,18,7,14,6
Locus10019v1rpkm3.07,246,209,313,115,56,90,34,49,113,163,50,79,1,5,3,8,1,6,48,187,151,67,136
Locus1001v1rpkm123.92,566,592,738,832,428,521,541,588,1785,1336,703,406,452,1350,685,467,324,932,397,591,610,536,360
Locus10020v1rpkm3.07,34,22,43,30,20,13,31,34,75,32,22,13,26,108,30,39,24,48,18,24,36,16,17
Locus10021v1rpkm3.07,6,4,9,6,5,5,3,1,18,15,6,6,9,23,8,8,10,12,3,10,26,5,9
Locus10022v1rpkm3.07,10,9,15,15,5,5,12,7,20,26,15,8,5,28,5,5,2,9,8,19,18,14,10
