#TE	Order	Superfamily	Clade	Complete	Strand	Domains
scaffold_11_(dbseq-nr_10)_[240973,246260]	LTR	Copia	tork	no	+	AP|retrofit INT|tork RT|tork RNaseH|copia
scaffold_125_(dbseq-nr_124)_[151713,156910]	LTR	Gypsy	v_clade	no	-	GAG|v_clade AP|v_clade
scaffold_133_(dbseq-nr_132)_[77531,82742]	LTR	Gypsy	v_clade	no	-	GAG|v_clade AP|v_clade
scaffold_135_(dbseq-nr_134)_[7248,13528]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|codi_d
scaffold_149_(dbseq-nr_148)_[109282,115726]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_149_(dbseq-nr_148)_[8744,14857]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|sire RT|copia RNaseH|codi_d
scaffold_149_(dbseq-nr_148)_[94659,101692]	LTR	Gypsy	v_clade	yes	+	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
scaffold_151_(dbseq-nr_150)_[135218,139877]	LTR	Gypsy	v_clade	no	+	GAG|v_clade AP|v_clade
scaffold_178_(dbseq-nr_177)_[10683,17592]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_178_(dbseq-nr_177)_[119294,126338]	LTR	Gypsy	v_clade	no	+	GAG|v_clade RT|v_clade RNaseH|pyret INT|v_clade
scaffold_17_(dbseq-nr_16)_[260595,265352]	LTR	Copia	sire	no	+	AP|ty1/copia INT|tork RT|sire RNaseH|sire
scaffold_183_(dbseq-nr_182)_[67292,72956]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|sire RNaseH|codi_d
scaffold_18_(dbseq-nr_17)_[364,6135]	LTR	Copia	mixture	no	-	AP|ty1/copia INT|retrofit RT|tork RNaseH|sire
scaffold_208_(dbseq-nr_207)_[3306,10185]	LTR	Gypsy	v_clade	no	-	GAG|v_clade RT|v_clade RNaseH|v_clade INT|v_clade
scaffold_216_(dbseq-nr_215)_[109563,116562]	LTR	Gypsy	v_clade	yes	-	GAG|v_clade AP|v_clade RT|v_clade RNaseH|v_clade INT|v_clade CHR|all
